"lon","lat","cmedv","crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","b","lstat"
-70.978,42.285,17.5,0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307,21,386.75,14.67
-70.9925,42.2825,20.2,0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,288.99,11.69
-70.988,42.2776,18.2,0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,390.95,11.28
-70.9835,42.277,13.6,1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21,376.57,21.02
-70.982,42.281,19.6,0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,392.53,13.83
-70.9775,42.279,15.2,1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,396.9,18.72
-70.973,42.279,14.5,0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,394.54,19.88
-70.9693,42.2816,15.6,0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21,394.33,16.3
-70.964,42.284,13.9,0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,303.42,16.51
-70.9597,42.287,16.6,0.67191,0,8.14,0,0.538,5.813,90.3,4.682,4,307,21,376.88,14.81
-70.9597,42.2825,14.8,0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307,21,306.38,17.28
-70.957,42.28,18.4,0.77299,0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,387.94,12.8
-70.951,42.278,21,1.00245,0,8.14,0,0.538,6.674,87.3,4.239,4,307,21,380.23,11.98
-70.967,42.279,12.7,1.13081,0,8.14,0,0.538,5.713,94.1,4.233,4,307,21,360.17,22.6
-70.964,42.2765,14.5,1.35472,0,8.14,0,0.538,6.072,100,4.175,4,307,21,376.73,13.04
-70.972,42.2765,13.2,1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,21,232.6,27.71
-70.9795,42.276,13.1,1.15172,0,8.14,0,0.538,5.701,95,3.7872,4,307,21,358.77,18.35
-70.9775,42.272,13.5,1.61282,0,8.14,0,0.538,6.096,96.9,3.7598,4,307,21,248.31,20.34
-71,42.27,18.9,0.06417,0,5.96,0,0.499,5.933,68.2,3.3603,5,279,19.2,396.9,9.68
-71.008,42.2745,20,0.09744,0,5.96,0,0.499,5.841,61.4,3.3779,5,279,19.2,377.56,11.41
-71.004,42.2865,21,0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,396.9,8.77
-71.02,42.2875,24.2,0.17505,0,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,393.43,10.13
-71.013,42.313,30.8,0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,395.63,4.32
-71.03,42.324,34.9,0.03359,75,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.3,395.62,1.98
-71.004,42.335,26.6,0.12744,0,6.91,0,0.448,6.77,2.9,5.7209,3,233,17.9,385.41,4.84
-71.003,42.3235,25.3,0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,383.37,5.81
-70.9775,42.3237,24.7,0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,394.46,7.44
-70.9675,42.317,21.2,0.12269,0,6.91,0,0.448,6.069,40,5.7209,3,233,17.9,389.39,9.55
-70.9725,42.3075,19.3,0.17142,0,6.91,0,0.448,5.682,33.8,5.1004,3,233,17.9,396.9,10.21
-70.965,42.3075,20,0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,3,233,17.9,396.9,14.15
-70.956,42.3125,16.6,0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,392.74,18.8
-70.955,42.3165,14.4,0.25387,0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,396.9,30.81
-70.9525,42.3208,19.4,0.21977,0,6.91,0,0.448,5.602,62,6.0877,3,233,17.9,396.9,16.2
-70.951,42.334,19.7,0.08873,21,5.64,0,0.439,5.963,45.7,6.8147,4,243,16.8,395.56,13.45
-70.963,42.3382,20.5,0.04337,21,5.64,0,0.439,6.115,63,6.8147,4,243,16.8,393.97,9.43
-70.958,42.346,25,0.0536,21,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.8,396.9,5.28
-70.978,42.3425,23.4,0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,396.9,8.43
-71.0175,42.3715,18.9,0.0136,75,4,0,0.41,5.888,47.6,7.3197,3,469,21.1,396.9,14.8
-70.9625,42.381,35.4,0.01311,90,1.22,0,0.403,7.249,21.9,8.6966,5,226,17.9,395.93,4.81
-70.93,42.374,24.7,0.02055,85,0.74,0,0.41,6.383,35.7,9.1876,2,313,17.3,396.9,5.77
-70.9295,42.3715,31.6,0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,392.9,3.95
-70.9385,42.346,23.3,0.15445,25,5.13,0,0.453,6.145,29.2,7.8148,8,284,19.7,390.68,6.86
-70.94,42.332,19.6,0.10328,25,5.13,0,0.453,5.927,47.2,6.932,8,284,19.7,396.9,9.22
-70.93,42.337,18.7,0.14932,25,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,395.11,13.15
-70.93,42.3275,16,0.17171,25,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,378.08,14.44
-70.9215,42.332,22.2,0.11027,25,5.13,0,0.453,6.456,67.8,7.2255,8,284,19.7,396.9,6.73
-70.9075,42.339,25,0.1265,25,5.13,0,0.453,6.762,43.4,7.9809,8,284,19.7,395.58,9.5
-70.86,42.345,33,0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,393.24,8.05
-71.045,42.345,23.5,0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,4,337,16.1,396.9,4.67
-71.069,42.3525,19.4,0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,396.9,10.24
-71.09,42.3362,22,0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,396.21,8.1
-71.108,42.34,17.4,0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,396.9,13.09
-71.111,42.327,20.9,0.12816,12.5,6.07,0,0.409,5.885,33,6.498,4,345,18.9,396.9,8.79
-71.121,42.316,24.2,0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,4,305,19.2,383.73,6.72
-71.1095,42.3008,21.7,0.15876,0,10.81,0,0.413,5.961,17.5,5.2873,4,305,19.2,376.94,9.88
-71.13,42.305,22.8,0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.2,390.91,5.52
-71.123,42.292,23.4,0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,377.17,7.54
-71.1105,42.289,24.1,0.07896,0,12.83,0,0.437,6.273,6,4.2515,5,398,18.7,394.92,6.78
-71.1,42.2875,21.4,0.09512,0,12.83,0,0.437,6.286,45,4.5026,5,398,18.7,383.23,8.94
-71.09,42.2835,20,0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97
-71.076,42.2895,20.8,0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,5,398,18.7,386.96,10.27
-71.0905,42.295,21.2,0.05646,0,12.83,0,0.437,6.232,53.7,5.0141,5,398,18.7,386.4,12.34
-71.091,42.305,20.3,0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,396.06,9.1
-71.0685,42.308,28,0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,4,281,19,396.9,5.29
-71.069,42.315,23.9,0.04462,25,4.86,0,0.426,6.619,70.4,5.4007,4,281,19,395.63,7.22
-71.0675,42.326,24.8,0.03659,25,4.86,0,0.426,6.302,32.2,5.4007,4,281,19,396.9,6.72
-71.0575,42.317,22.9,0.03551,25,4.86,0,0.426,6.167,46.7,5.4007,4,281,19,390.64,7.51
-71.043,42.3075,23.9,0.05059,0,4.49,0,0.449,6.389,48,4.7794,3,247,18.5,396.9,9.62
-71.05,42.3,26.6,0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,392.3,6.53
-71.033,42.305,22.5,0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,395.99,12.86
-71.039,42.2885,22.2,0.07151,0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,395.15,8.44
-71.042,42.2796,23.6,0.0566,0,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,396.9,5.5
-71.0345,42.2785,28.7,0.05302,0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,396.06,5.7
-71.03,42.272,22.6,0.04684,0,3.41,0,0.489,6.417,66.1,3.0923,2,270,17.8,392.18,8.81
-71.0425,42.2715,22,0.03932,0,3.41,0,0.489,6.405,73.9,3.0921,2,270,17.8,393.55,8.2
-71.053,42.283,22.9,0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,4,270,18.2,395.01,8.16
-71.062,42.296,25,0.02875,28,15.04,0,0.464,6.211,28.9,3.6659,4,270,18.2,396.33,6.21
-71.0615,42.284,20.6,0.04294,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.9,10.59
-71.076,42.2775,28.4,0.12204,0,2.89,0,0.445,6.625,57.8,3.4952,2,276,18,357.98,6.65
-71.085,42.2775,21.4,0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,391.83,11.34
-71.089,42.2715,38.7,0.12083,0,2.89,0,0.445,8.069,76,3.4952,2,276,18,396.9,4.21
-71.0982,42.2685,43.8,0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18,393.53,3.57
-71.08,42.268,33.2,0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18,396.9,6.19
-71.0668,42.2545,27.5,0.14866,0,8.56,0,0.52,6.727,79.9,2.7778,5,384,20.9,394.76,9.42
-71.081,42.245,26.5,0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.9,395.58,7.67
-71.0812,42.2515,18.6,0.22876,0,8.56,0,0.52,6.405,85.4,2.7147,5,384,20.9,70.8,10.63
-71.077,42.249,19.3,0.21161,0,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.9,394.47,13.44
-71.069,42.248,20.1,0.1396,0,8.56,0,0.52,6.167,90,2.421,5,384,20.9,392.69,12.33
-71.0662,42.2425,19.5,0.13262,0,8.56,0,0.52,5.851,96.7,2.1069,5,384,20.9,394.05,16.47
-71.0622,42.2431,19.5,0.1712,0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,395.67,18.66
-71.0553,42.2465,20.4,0.13117,0,8.56,0,0.52,6.127,85.2,2.1224,5,384,20.9,387.69,14.09
-71.055,42.2505,19.8,0.12802,0,8.56,0,0.52,6.474,97.1,2.4329,5,384,20.9,395.24,12.27
-71.06,42.254,19.4,0.26363,0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,391.23,15.55
-71.056,42.2605,21.7,0.10793,0,8.56,0,0.52,6.195,54.4,2.7778,5,384,20.9,393.49,13
-71.0475,42.261,22.8,0.10084,0,10.01,0,0.547,6.715,81.6,2.6775,6,432,17.8,395.59,10.16
-71.049,42.253,18.8,0.12329,0,10.01,0,0.547,5.913,92.9,2.3534,6,432,17.8,394.95,16.21
-71.0428,42.258,18.7,0.22212,0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,396.9,17.09
-71.0396,42.2512,18.5,0.14231,0,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,388.74,10.45
-71.0355,42.2545,18.3,0.17134,0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,344.91,15.76
-71.036,42.2608,21.2,0.13158,0,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.8,393.3,12.04
-71.0285,42.262,19.2,0.15098,0,10.01,0,0.547,6.021,82.6,2.7474,6,432,17.8,394.51,10.3
-71.0285,42.258,20.4,0.13058,0,10.01,0,0.547,5.872,73.1,2.4775,6,432,17.8,338.63,15.37
-71.019,42.2605,19.3,0.14476,0,10.01,0,0.547,5.731,65.2,2.7592,6,432,17.8,391.5,13.61
-71.0243,42.2483,22,0.06899,0,25.65,0,0.581,5.87,69.7,2.2577,2,188,19.1,389.15,14.37
-71.0312,42.2505,20.3,0.07165,0,25.65,0,0.581,6.004,84.1,2.1974,2,188,19.1,377.67,14.27
-71.0377,42.247,20.5,0.09299,0,25.65,0,0.581,5.961,92.9,2.0869,2,188,19.1,378.09,17.93
-71.037,42.2435,17.3,0.15038,0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,370.31,25.41
-71.0308,42.245,18.8,0.09849,0,25.65,0,0.581,5.879,95.8,2.0063,2,188,19.1,379.38,17.58
-71.0262,42.2431,21.4,0.16902,0,25.65,0,0.581,5.986,88.4,1.9929,2,188,19.1,385.02,14.81
-71.0333,42.2395,15.7,0.38735,0,25.65,0,0.581,5.613,95.6,1.7572,2,188,19.1,359.29,27.26
-71.053,42.2355,16.2,0.25915,0,21.89,0,0.624,5.693,96,1.7883,4,437,21.2,392.11,17.19
-71.058,42.235,18,0.32543,0,21.89,0,0.624,6.431,98.8,1.8125,4,437,21.2,396.9,15.39
-71.0638,42.2368,14.3,0.88125,0,21.89,0,0.624,5.637,94.7,1.9799,4,437,21.2,396.9,18.34
-71.0692,42.239,19.2,0.34006,0,21.89,0,0.624,6.458,98.9,2.1185,4,437,21.2,395.04,12.6
-71.075,42.24,19.6,1.19294,0,21.89,0,0.624,6.326,97.7,2.271,4,437,21.2,396.9,12.26
-71.0745,42.2405,23,0.59005,0,21.89,0,0.624,6.372,97.9,2.3274,4,437,21.2,385.76,11.12
-71.079,42.245,18.4,0.32982,0,21.89,0,0.624,5.822,95.4,2.4699,4,437,21.2,388.69,15.03
-71.076,42.2405,15.6,0.97617,0,21.89,0,0.624,5.757,98.4,2.346,4,437,21.2,262.76,17.31
-71.075,42.2362,18.1,0.55778,0,21.89,0,0.624,6.335,98.2,2.1107,4,437,21.2,394.67,16.96
-71.0677,42.2335,17.4,0.32264,0,21.89,0,0.624,5.942,93.5,1.9669,4,437,21.2,378.25,16.9
-71.063,42.2325,17.1,0.35233,0,21.89,0,0.624,6.454,98.4,1.8498,4,437,21.2,394.08,14.59
-71.062,42.2275,13.3,0.2498,0,21.89,0,0.624,5.857,98.2,1.6686,4,437,21.2,392.04,21.32
-71.0568,42.23,17.8,0.54452,0,21.89,0,0.624,6.151,97.9,1.6687,4,437,21.2,396.9,18.46
-71.0518,42.2312,14,0.2909,0,21.89,0,0.624,6.174,93.6,1.6119,4,437,21.2,388.08,24.16
-71.0543,42.2265,14.4,1.62864,0,21.89,0,0.624,5.019,100,1.4394,4,437,21.2,396.9,34.41
-71.048,42.2222,13.4,3.32105,0,19.58,1,0.871,5.403,100,1.3216,5,403,14.7,396.9,26.82
-71.0519,42.223,15.6,4.0974,0,19.58,0,0.871,5.468,100,1.4118,5,403,14.7,396.9,26.42
-71.051,42.2205,11.8,2.77974,0,19.58,0,0.871,4.903,97.8,1.3459,5,403,14.7,396.9,29.29
-71.054,42.219,13.8,2.37934,0,19.58,0,0.871,6.13,100,1.4191,5,403,14.7,172.91,27.8
-71.059,42.221,15.6,2.15505,0,19.58,0,0.871,5.628,100,1.5166,5,403,14.7,169.27,16.65
-71.0555,42.2222,14.6,2.36862,0,19.58,0,0.871,4.926,95.7,1.4608,5,403,14.7,391.71,29.53
-71.0567,42.224,17.8,2.33099,0,19.58,0,0.871,5.186,93.8,1.5296,5,403,14.7,356.99,28.32
-71.058,42.223,15.4,2.73397,0,19.58,0,0.871,5.597,94.9,1.5257,5,403,14.7,351.85,21.45
-71.062,42.2236,21.5,1.6566,0,19.58,0,0.871,6.122,97.3,1.618,5,403,14.7,372.8,14.1
-71.0622,42.2205,19.6,1.49632,0,19.58,0,0.871,5.404,100,1.5916,5,403,14.7,341.6,13.28
-71.059,42.217,15.3,1.12658,0,19.58,1,0.871,5.012,88,1.6102,5,403,14.7,343.28,12.12
-71.0645,42.215,19.4,2.14918,0,19.58,0,0.871,5.709,98.5,1.6232,5,403,14.7,261.95,15.79
-71.0662,42.2162,17,1.41385,0,19.58,1,0.871,6.129,96,1.7494,5,403,14.7,321.02,15.12
-71.068,42.215,15.6,3.53501,0,19.58,1,0.871,6.152,82.6,1.7455,5,403,14.7,88.01,15.02
-71.0667,42.22,13.1,2.44668,0,19.58,0,0.871,5.272,94,1.7364,5,403,14.7,88.63,16.14
-71.069,42.2285,41.3,1.22358,0,19.58,0,0.605,6.943,97.4,1.8773,5,403,14.7,363.43,4.59
-71.067,42.2245,24.3,1.34284,0,19.58,0,0.605,6.066,100,1.7573,5,403,14.7,353.89,6.43
-71.065,42.2223,23.3,1.42502,0,19.58,0,0.871,6.51,100,1.7659,5,403,14.7,364.31,7.39
-71.07,42.2214,27,1.27346,0,19.58,1,0.605,6.25,92.6,1.7984,5,403,14.7,338.92,5.5
-71.0735,42.2282,50,1.46336,0,19.58,0,0.605,7.489,90.8,1.9709,5,403,14.7,374.43,1.73
-71.077,42.225,50,1.83377,0,19.58,1,0.605,7.802,98.2,2.0407,5,403,14.7,389.61,1.92
-71.0815,42.225,50,1.51902,0,19.58,1,0.605,8.375,93.9,2.162,5,403,14.7,388.45,3.32
-71.0918,42.2265,22.7,2.24236,0,19.58,0,0.605,5.854,91.8,2.422,5,403,14.7,395.11,11.64
-71.082,42.2295,25,2.924,0,19.58,0,0.605,6.101,93,2.2834,5,403,14.7,240.16,9.81
-71.077,42.2305,50,2.01019,0,19.58,0,0.605,7.929,96.2,2.0459,5,403,14.7,369.3,3.7
-71.0866,42.2345,23.8,1.80028,0,19.58,0,0.605,5.877,79.2,2.4259,5,403,14.7,227.61,12.14
-71.074,42.2331,23.8,2.3004,0,19.58,0,0.605,6.319,96.1,2.1,5,403,14.7,297.09,11.1
-71.0775,42.2351,22.3,2.44953,0,19.58,0,0.605,6.402,95.2,2.2625,5,403,14.7,330.04,11.32
-71.081,42.2368,17.4,1.20742,0,19.58,0,0.605,5.875,94.6,2.4259,5,403,14.7,292.29,14.43
-71.0792,42.239,19.1,2.3139,0,19.58,0,0.605,5.88,97.3,2.3887,5,403,14.7,348.13,12.03
-71.087,42.2416,23.1,0.13914,0,4.05,0,0.51,5.572,88.5,2.5961,5,296,16.6,396.9,14.69
-71.0855,42.245,23.6,0.09178,0,4.05,0,0.51,6.416,84.1,2.6463,5,296,16.6,395.5,9.04
-71.0833,42.2475,22.6,0.08447,0,4.05,0,0.51,5.859,68.7,2.7019,5,296,16.6,393.23,9.64
-71.094,42.2575,29.4,0.06664,0,4.05,0,0.51,6.546,33.1,3.1323,5,296,16.6,390.96,5.33
-71.1125,42.255,23.2,0.07022,0,4.05,0,0.51,6.02,47.2,3.5549,5,296,16.6,393.23,10.11
-71.106,42.2512,24.6,0.05425,0,4.05,0,0.51,6.315,73.4,3.3175,5,296,16.6,395.6,6.29
-71.0965,42.247,29.9,0.06642,0,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,391.27,6.92
-71.1,42.2408,37.2,0.0578,0,2.46,0,0.488,6.98,58.4,2.829,3,193,17.8,396.9,5.04
-71.0995,42.2345,39.8,0.06588,0,2.46,0,0.488,7.765,83.3,2.741,3,193,17.8,395.56,7.56
-71.0966,42.2282,36.2,0.06888,0,2.46,0,0.488,6.144,62.2,2.5979,3,193,17.8,396.9,9.45
-71.1005,42.2287,37.9,0.09103,0,2.46,0,0.488,7.155,92.2,2.7006,3,193,17.8,394.12,4.82
-71.1065,42.23,32.5,0.10008,0,2.46,0,0.488,6.563,95.6,2.847,3,193,17.8,396.9,5.68
-71.112,42.23,26.4,0.08308,0,2.46,0,0.488,5.604,89.8,2.9879,3,193,17.8,391,13.98
-71.1175,42.235,29.6,0.06047,0,2.46,0,0.488,6.153,68.8,3.2797,3,193,17.8,387.11,13.15
-71.1115,42.2442,50,0.05602,0,2.46,0,0.488,7.831,53.6,3.1992,3,193,17.8,392.63,4.45
-71.122,42.2565,32,0.07875,45,3.44,0,0.437,6.782,41.1,3.7886,5,398,15.2,393.87,6.68
-71.1408,42.255,29.8,0.12579,45,3.44,0,0.437,6.556,29.1,4.5667,5,398,15.2,382.84,4.56
-71.145,42.2651,34.9,0.0837,45,3.44,0,0.437,7.185,38.9,4.5667,5,398,15.2,396.9,5.39
-71.1216,42.27,33,0.09068,45,3.44,0,0.437,6.951,21.5,6.4798,5,398,15.2,377.68,5.1
-71.1485,42.2765,30.5,0.06911,45,3.44,0,0.437,6.739,30.8,6.4798,5,398,15.2,389.71,4.69
-71.134,42.2785,36.4,0.08664,45,3.44,0,0.437,7.178,26.3,6.4798,5,398,15.2,390.49,2.87
-71.1525,42.3,31.1,0.02187,60,2.93,0,0.401,6.8,9.9,6.2196,1,265,15.6,393.37,5.03
-71.1633,42.303,29.1,0.01439,60,2.93,0,0.401,6.604,18.8,6.2196,1,265,15.6,376.7,4.38
-71.189,42.2525,50,0.01381,80,0.46,0,0.422,7.875,32,5.6484,4,255,14.4,394.23,2.97
-71.22,42.2715,33.3,0.04011,80,1.52,0,0.404,7.287,34.1,7.309,2,329,12.6,396.9,4.08
-71.24,42.2725,30.3,0.04666,80,1.52,0,0.404,7.107,36.6,7.309,2,329,12.6,354.31,8.61
-71.222,42.289,34.6,0.03768,80,1.52,0,0.404,7.274,38.3,7.309,2,329,12.6,392.2,6.62
-71.244,42.2425,34.9,0.0315,95,1.47,0,0.403,6.975,15.3,7.6534,3,402,17,396.9,4.56
-71.263,42.2225,32.9,0.01778,95,1.47,0,0.403,7.135,13.9,7.6534,3,402,17,384.3,4.45
-71.2185,42.1955,24.1,0.03445,82.5,2.03,0,0.415,6.162,38.4,6.27,2,348,14.7,393.77,7.43
-71.214,42.218,42.3,0.02177,82.5,2.03,0,0.415,7.61,15.7,6.27,2,348,14.7,395.38,3.11
-71.199,42.232,48.5,0.0351,95,2.68,0,0.4161,7.853,33.2,5.118,4,224,14.7,392.78,3.81
-71.199,42.2058,50,0.02009,95,2.68,0,0.4161,8.034,31.9,5.118,4,224,14.7,390.55,2.88
-71.1475,42.2445,22.6,0.13642,0,10.59,0,0.489,5.891,22.3,3.9454,4,277,18.6,396.9,10.87
-71.15,42.2308,24.4,0.22969,0,10.59,0,0.489,6.326,52.5,4.3549,4,277,18.6,394.87,10.97
-71.149,42.2268,22.5,0.25199,0,10.59,0,0.489,5.783,72.7,4.3549,4,277,18.6,389.43,18.06
-71.1503,42.222,24.4,0.13587,0,10.59,1,0.489,6.064,59.1,4.2392,4,277,18.6,381.32,14.66
-71.143,42.2217,20,0.43571,0,10.59,1,0.489,5.344,100,3.875,4,277,18.6,396.9,23.09
-71.1435,42.2177,21.7,0.17446,0,10.59,1,0.489,5.96,92.1,3.8771,4,277,18.6,393.25,17.27
-71.138,42.2216,19.3,0.37578,0,10.59,1,0.489,5.404,88.6,3.665,4,277,18.6,395.24,23.98
-71.1335,42.225,22.4,0.21719,0,10.59,1,0.489,5.807,53.8,3.6526,4,277,18.6,390.94,16.03
-71.1375,42.2355,28.1,0.14052,0,10.59,0,0.489,6.375,32.3,3.9454,4,277,18.6,385.81,9.38
-71.127,42.235,23.7,0.28955,0,10.59,0,0.489,5.412,9.8,3.5875,4,277,18.6,348.93,29.55
-71.1245,42.2277,25,0.19802,0,10.59,0,0.489,6.182,42.4,3.9454,4,277,18.6,393.63,9.47
-71.1166,42.223,23.3,0.0456,0,13.89,1,0.55,5.888,56,3.1121,5,276,16.4,392.8,13.51
-71.105,42.2235,28.7,0.07013,0,13.89,0,0.55,6.642,85.1,3.4211,5,276,16.4,392.78,9.69
-71.0933,42.222,21.5,0.11069,0,13.89,1,0.55,5.951,93.8,2.8893,5,276,16.4,396.9,17.92
-71.106,42.2185,23,0.11425,0,13.89,1,0.55,6.373,92.4,3.3633,5,276,16.4,393.74,10.5
-71.11,42.2137,26.7,0.35809,0,6.2,1,0.507,6.951,88.5,2.8617,8,307,17.4,391.7,9.71
-71.121,42.2166,21.7,0.40771,0,6.2,1,0.507,6.164,91.3,3.048,8,307,17.4,395.24,21.46
-71.125,42.2134,27.5,0.62356,0,6.2,1,0.507,6.879,77.7,3.2721,8,307,17.4,390.39,9.93
-71.1208,42.2183,30.1,0.6147,0,6.2,0,0.507,6.618,80.8,3.2721,8,307,17.4,396.9,7.6
-71.11,42.206,44.8,0.31533,0,6.2,0,0.504,8.266,78.3,2.8944,8,307,17.4,385.05,4.14
-71.1012,42.1975,50,0.52693,0,6.2,0,0.504,8.725,83,2.8944,8,307,17.4,382,4.63
-71.1215,42.2025,37.6,0.38214,0,6.2,0,0.504,8.04,86.5,3.2157,8,307,17.4,387.38,3.13
-71.116,42.1947,31.6,0.41238,0,6.2,0,0.504,7.163,79.9,3.2157,8,307,17.4,372.08,6.36
-71.11,42.185,46.7,0.29819,0,6.2,0,0.504,7.686,17,3.3751,8,307,17.4,377.51,3.92
-71.119,42.1807,31.5,0.44178,0,6.2,0,0.504,6.552,21.4,3.3751,8,307,17.4,380.34,3.76
-71.13,42.188,24.3,0.537,0,6.2,0,0.504,5.981,68.1,3.6715,8,307,17.4,378.35,11.65
-71.1285,42.193,31.7,0.46296,0,6.2,0,0.504,7.412,76.9,3.6715,8,307,17.4,376.14,5.25
-71.14,42.1946,41.7,0.57529,0,6.2,0,0.507,8.337,73.3,3.8384,8,307,17.4,385.91,2.47
-71.134,42.204,48.3,0.33147,0,6.2,0,0.507,8.247,70.4,3.6519,8,307,17.4,378.95,3.95
-71.132,42.2142,29,0.44791,0,6.2,1,0.507,6.726,66.5,3.6519,8,307,17.4,360.2,8.05
